"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode"
2016,"ALABAMA","AL","CLAY",1027,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",5245,6624,20220315,"TOTAL"
2016,"ALABAMA","AL","CLAY",1027,"US PRESIDENT","OTHER","OTHER",142,6624,20220315,"TOTAL"
2016,"ALABAMA","AL","CLEBURNE",1029,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",684,6593,20220315,"TOTAL"
2016,"ALABAMA","AL","CLEBURNE",1029,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",5764,6593,20220315,"TOTAL"
2016,"ALABAMA","AL","CLEBURNE",1029,"US PRESIDENT","OTHER","OTHER",145,6593,20220315,"TOTAL"
2016,"ALABAMA","AL","COFFEE",1031,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",4221,20767,20220315,"TOTAL"
2016,"ALABAMA","AL","COFFEE",1031,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",15875,20767,20220315,"TOTAL"
2016,"ALABAMA","AL","COFFEE",1031,"US PRESIDENT","OTHER","OTHER",671,20767,20220315,"TOTAL"
2016,"ALABAMA","AL","COLBERT",1033,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",7312,24915,20220315,"TOTAL"
2016,"ALABAMA","AL","COLBERT",1033,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",16746,24915,20220315,"TOTAL"
2016,"ALABAMA","AL","COLBERT",1033,"US PRESIDENT","OTHER","OTHER",857,24915,20220315,"TOTAL"
2016,"ALABAMA","AL","CONECUH",1035,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",3080,6585,20220315,"TOTAL"
2016,"ALABAMA","AL","CONECUH",1035,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",3420,6585,20220315,"TOTAL"
2016,"ALABAMA","AL","CONECUH",1035,"US PRESIDENT","OTHER","OTHER",85,6585,20220315,"TOTAL"
2016,"ALABAMA","AL","COOSA",1037,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",1782,5252,20220315,"TOTAL"
2016,"ALABAMA","AL","COOSA",1037,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",3381,5252,20220315,"TOTAL"
2016,"ALABAMA","AL","COOSA",1037,"US PRESIDENT","OTHER","OTHER",89,5252,20220315,"TOTAL"
2016,"ALABAMA","AL","COVINGTON",1039,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",2387,15940,20220315,"TOTAL"
2016,"ALABAMA","AL","COVINGTON",1039,"US PRESIDENT","DONALD TRUMP","REPUBLICAN",13267,15940,20220315,"TOTAL"
2016,"ALABAMA","AL","COVINGTON",1039,"US PRESIDENT","OTHER","OTHER",286,15940,20220315,"TOTAL"
2016,"ALABAMA","AL","CRENSHAW",1041,"US PRESIDENT","HILLARY CLINTON","DEMOCRAT",1664,6267,20220315,"TOTAL"
